Word,Translation,Transliteration,Example Sentence,Sentence Translation
que,that,keh,Tenga en cuenta que algunas de estas características son diferentes.,Note that some of these characteristics are different.
no,No,noh,"¿Te gustó el concierto? - No, ese estilo de música no me gusta.","Did you like the concert? - No, I don't like that style of music."
y,and,ee,Quiero una pizza y un refresco.,I want a pizza and a soft drink.
es,is,sehr,Es alto y rubio.,He's tall and blond.
en,in,ehn,Hay comida ya preparada en el supermercado.,There's ready-made food in the supermarket.
